"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2";"";"D_2CSOT23";"SOT-23";"D3, D7";"Dual DIODE";"";"";"unknown";"unknown";
"1";"";"JP2E";"JP2";"JP1";"JUMPER";"";"";"";"";
"4";"";"NMOSSOT23-6";"SOT23-6";"T6, T7, T8, T9";"MOS FET";"";"";"unknown";"unknown";
"1";"";"PNPSOT23";"SOT-23";"T1";"PNP TRANSISTOR";"";"DSS20200L-7";"unknown";"25R4554";
"1";"";"ZENER-DIODESOT23";"SOT23";"D1";"Z-Diode";"";"";"";"";
"5";"0.010";"R-US_R6332";"R6332";"R8, R9, R10, R11, R21";"RESISTOR, American symbol";"";"";"";"";
"1";"0.050";"R-US_R6332";"R6332";"R20";"RESISTOR, American symbol";"";"";"";"";
"27";"0.1uF";"C-USC0805";"C0805";"C2, C3, C4, C5, C6, C11, C12, C13, C14, C16, C17, C18, C19, C20, C23, C24, C25, C26, C27, C30, C31, C32, C33, C34, C37, C43, C44";"CAPACITOR, American symbol";"";"";"";"";
"5";"100k";"R-US_R0805";"R0805";"R6, R16, R17, R18, R19";"RESISTOR, American symbol";"";"";"";"";
"4";"10k";"R-US_R0805";"R0805";"R2, R5, R27, R29";"RESISTOR, American symbol";"";"";"";"";
"3";"10pF";"C-USC0805";"C0805";"C45, C46, C48";"CAPACITOR, American symbol";"";"";"";"";
"6";"10uF";"C-USC0805";"C0805";"C9, C10, C15, C22, C41, C47";"CAPACITOR, American symbol";"";"";"";"";
"2";"10uH";"L-USL2012C";"L2012C";"L2, L4";"INDUCTOR, American symbol";"";"";"";"";
"4";"17984-7PG-300";"17984-7PG-300";"17984-7PG-300";"X4, X5, X6, X7";"MICRO-CON-X® FIELD INSTALLABLE CONNECTOR";"";"";"";"";
"4";"1A";"R-US_R1206";"R1206";"PTC9, PTC10, PTC11, PTC12";"RESISTOR, American symbol";"";"";"";"";
"1";"1K";"R-US_R0805";"R0805";"R32";"RESISTOR, American symbol";"";"";"";"";
"4";"1k";"R-US_R0805";"R0805";"R1, R4, R25, R31";"RESISTOR, American symbol";"";"";"";"";
"4";"1uF";"C-USC0805";"C0805";"C7, C21, C28, C42";"CAPACITOR, American symbol";"";"";"";"";
"2";"22-23-2021";"22-23-2021";"22-23-2021";"X14, X18";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
"2";"22-23-2031";"22-23-2031";"22-23-2031";"X8, X9";".100" (2.54mm) Center Header - 3 Pin";"MOLEX";"22-23-2031";"1462950";"30C0862";
"4";"2K";"R-US_R0805";"R0805";"R12, R13, R14, R15";"RESISTOR, American symbol";"";"";"";"";
"2";"2k";"R-US_R0805";"R0805";"R26, R30";"RESISTOR, American symbol";"";"";"";"";
"3";"330";"R-US_R0805";"R0805";"R3, R7, R28";"RESISTOR, American symbol";"";"";"";"";
"1";"4.99k";"R-US_R0805";"R0805";"R23";"RESISTOR, American symbol";"";"";"";"";
"1";"412k";"R-US_R0805";"R0805";"R24";"RESISTOR, American symbol";"";"";"";"";
"1";"5.6uH";"IHLP-2020CZ-11";"IHLP-2020CZ-11";"L1";"";"";"";"";"";
"8";"50mA";"R-US_R1206";"R1206";"PTC1, PTC2, PTC3, PTC4, PTC5, PTC6, PTC7, PTC8";"RESISTOR, American symbol";"";"";"";"";
"1";"626k";"R-US_R0805";"R0805";"R22";"RESISTOR, American symbol";"";"";"";"";
"3";"68uF";"CPOL-USD";"PANASONIC_D";"C1, C8, C29";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"1";"7381-2PG-300";"7381-2PG-300";"7381-2PG-300";"X3";"";"";"";"";"";
"2";"7381-3PG-300";"7381-3PG-300";"7381-3PG-300";"X1, X2";"Mini-Con-X Panel Connector";"";"";"";"";
"1";"74ALS04D";"74ALS04D";"SO14";"IC19";"Hex INVERTER";"";"";"";"";
"1";"AVR-PDIVERT";"AVR-PDIVERT";"AVR-ISP-6";"ISP1";"AVR PDI programming interface connector";"";"";"";"";
